Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”,Name: “Table 1 of 1 on page 6 of 12”
,"the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate"
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,,
•,Provide two percent general wage increase for,Provide two percent general wage increase for,,,FY 2013:,"$7,464",Positions:,0
,employees,,,,,,,
,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.,Provides the additional funds required for a two percent salary increase as well as the associated fringe benefits.
•,Adjust costs for Fleet expenditures,Adjust costs for Fleet expenditures,,,FY 2013:,($39),Positions:,0
,Technical adjustment to adjust the funding needed to support Fleet expenditures based on an annual cost,Technical adjustment to adjust the funding needed to support Fleet expenditures based on an annual cost,Technical adjustment to adjust the funding needed to support Fleet expenditures based on an annual cost,Technical adjustment to adjust the funding needed to support Fleet expenditures based on an annual cost,Technical adjustment to adjust the funding needed to support Fleet expenditures based on an annual cost,Technical adjustment to adjust the funding needed to support Fleet expenditures based on an annual cost,Technical adjustment to adjust the funding needed to support Fleet expenditures based on an annual cost,
,"revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations","revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations","revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations","revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations","revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations","revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations","revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations","revision calculation. Fleet provides maintenance, fuel, and the management of vehicles for essential operations"
,of the department. This is a routine adjustment which occurs each budget cycle.,of the department. This is a routine adjustment which occurs each budget cycle.,of the department. This is a routine adjustment which occurs each budget cycle.,of the department. This is a routine adjustment which occurs each budget cycle.,of the department. This is a routine adjustment which occurs each budget cycle.,,,
,Storehouse,Storehouse,,Total FY 2013:,Total FY 2013:,"($45,200)",Positions:,0
POSITION S UMMARY,POSITION S UMMARY,,,,,,,
,,Pay Grade,Minimum,Maximum,,FY 2012,Change,FY 2013
,,,,,Approved,Approved,,Approved
,,,,,Positions,Positions,,Positions
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",,1,0,1
Materials Manager,Materials Manager,MAP011,"$53,634","$85,742",,1,0,1
Storekeeper I,Storekeeper I,OPS005,"$22,427","$35,853",,1,0,1
Storekeeper II,Storekeeper II,OPS007,"$26,135","$41,782",,5,0,5
Storekeeper III,Storekeeper III,OPS008,"$28,251","$45,161",,2,0,2
Support Technician,Support Technician,OPS006,"$24,199","$38,684",,1,0,1
Total,Total,,,,,11,0,11
380,Storehouse,,,,,,,
