Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”
The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is,The Storehouse provides timely material management in support of all city departments. The Storehouse is
managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,managed by the Office of the Purchasing Agent in the Department of General Services.,,,,
Long-Term Goals,Long-Term Goals,,,,,,,,,,,
•,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,,
,,,,Priority: Well-Managed Government,Priority: Well-Managed Government,Priority: Well-Managed Government,Priority: Well-Managed Government,,,,,
Goal,,,,,,,,,,,,
Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,Improve the efficiency and effectiveness of the materials operations and its support to the city,,,
Objective,Objective,,,,,,,,,,,
Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within the
city's Storehouse,city's Storehouse,,,,,,,,,,,
,,,,,FY 2010,FY 2011,,FY 2012,FY 2013,FY 2013,,
Measure,,,,,,,,,,,Change,Change
,,,,,Actual,Actual,Approved,Approved,Approved,Approved,,
Maintain total dollar amount of fiscal sales,Maintain total dollar amount of fiscal sales,Maintain total dollar amount of fiscal sales,Maintain total dollar amount of fiscal sales,,,,,,,,,
,,,,,"3,778,153","3,707,296","4,000,000","4,000,000","4,000,000","4,000,000",,0
and transactions,and transactions,,,,,,,,,,,
Decrease value of the inventory maintained,Decrease value of the inventory maintained,Decrease value of the inventory maintained,Decrease value of the inventory maintained,,,,,,,,,
,,,,,"1,910,487","1,934,948","1,650,000","1,650,000","1,400,000","1,400,000","-250,000","-250,000"
by the Storehouse,by the Storehouse,,,,,,,,,,,
R EVENUE S UMMARY,R EVENUE S UMMARY,R EVENUE S UMMARY,,,,,,,,,,
,,,,,FY 2010,,FY 2011,FY 2011,FY 2012,FY 2012,FY 2013,FY 2013
,,,,,Actual,,Actual,Actual,Approved,Approved,Approved,Approved
Charges for Services,Charges for Services,,,,"$613,462","$630,259","$630,259","$630,259","$622,000","$622,000","$576,800","$576,800"
Total,,,,,"$613,462","$630,259","$630,259","$630,259","$622,000","$622,000","$576,800","$576,800"
,,,,,,,,,,Storehouse,Storehouse,379
