"Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011",,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
,City of Norfolk,City of Norfolk,4.3,5.1,5.3,5.1,5.0,4.2,4.1,5.3,8.7,9.0,8.4*
,Hampton Roads,Hampton Roads,,,,,,,,,,,
,,,3.3,4.1,4.2,4.0,3.9,3.3,3.2,4.2,7.0,7.3,7.0*
,MSA,,,,,,,,,,,,
,Commonwealth,Commonwealth,,,,,,,,,,,
,,,3.2,4.2,4.1,3.7,3.5,3.0,3.1,4.0,6.9,6.9,6.2
,of Virginia,,,,,,,,,,,,
,United States,United States,4.7,5.8,6.0,5.5,5.1,4.6,4.6,5.8,9.3,9.6,8.9
* Estimated numbers as of May 2012,* Estimated numbers as of May 2012,* Estimated numbers as of May 2012,* Estimated numbers as of May 2012,,,,,,,,,,
Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-
employment Statistics (LAUS) series,employment Statistics (LAUS) series,employment Statistics (LAUS) series,employment Statistics (LAUS) series,,,,,,,,,,
Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,,,,,,
WAGES,WAGES,,,,,,,,,,,,
"Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011",,,,,,
,,,Total Average,Total Average,Total Average,Average Hourly,Average Hourly,Average Weekly,Average Weekly,Average Weekly,Average Annual,Average Annual,Average Annual
,,Area,,,,,,,,,,,
,,,,Employment,Employment,,Wage*,,,Wage,,,Wage*
,City of Norfolk,City of Norfolk,,"139,194","139,194",,$23.33,,,$933,,,"$48,516"
Commonwealth of,Commonwealth of,Commonwealth of,,,,,,,,,,,
,,,,"3,616,821","3,616,821",,$25.10,,,"$1,004",,,"$52,208"
,Virginia,Virginia,,,,,,,,,,,
* Assumes a 40-hour week worked the year round.,* Assumes a 40-hour week worked the year round.,* Assumes a 40-hour week worked the year round.,* Assumes a 40-hour week worked the year round.,* Assumes a 40-hour week worked the year round.,* Assumes a 40-hour week worked the year round.,,,,,,,,
"Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program",,,,
516,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,,,,,,,,,
