Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”
,"Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,"
,"the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate"
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,,,
•,Support two percent salary increase,,,FY 2013:,"$6,373","$6,373",Positions:,0
,"Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.",
•,Adjust operational expenses,,,FY 2013:,"$12,394","$12,394",Positions:,0
,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,
,"vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.",
,Towing and Recovery Operations Fund,,Total FY 2013:,Total FY 2013:,,$0,Positions:,0
P OSITION S UMMARY,,,,,,,,
,Pay Grade,Minimum,Maximum,,FY 2012,Change,Change,FY 2013
,,,,Approved,Approved,,,Approved
,,,,Positions,Positions,,,Positions
Accounting Technician,OPS007,"$26,135","$41,782",,6,,0,6
Administrative Assistant II,MAP003,"$32,801","$52,435",,1,,0,1
Equipment Operator II,OPS006,"$24,199","$38,684",,1,,0,1
Towing Operations Manager,SRM001,"$49,196","$86,583",,1,,0,1
Total,,,,,9,,0,9
,,,,Towing and Recovery Operations Fund,Towing and Recovery Operations Fund,Towing and Recovery Operations Fund,Towing and Recovery Operations Fund,345
