Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”
Subtotal,,,,,"914,223,412","914,223,412","1,004,048,515","1,004,048,515","1,004,048,515","1,023,141,109","19,092,594",,1.9%
Beginning,in,January,"2014,",the,Healthcare,Fund,will,collect,premiums,from,Consortium,"members,",their
"employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,","employees, and participating retirees in order to provide healthcare services. Medical claims, administrative costs,"
and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,and wellness program expenditures will be charged to the fund. The budget impact is reflected below.,,
Healthcare Fund,Healthcare Fund,Healthcare Fund,,,,0,,,0,"57,931,973","57,931,973",,
Total All Funds,Total All Funds,Total All Funds,,,"914,223,412","914,223,412","1,004,048,515","1,004,048,515","1,004,048,515","1,081,073,082","77,024,567",,7.7%
1,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of,The reduction in Public Assistance in FY 2014 and FY 2013 from FY 2012 is mainly due to the Commonwealth of
Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,Virginia changing the reimbursement model for certain childcare programs.,There is no anticipated reduction in,There is no anticipated reduction in,There is no anticipated reduction in,There is no anticipated reduction in
services to citizens.,services to citizens.,services to citizens.,,,,,,,,,,,
28,Estimated Expenditures by Use (All Funds),Estimated Expenditures by Use (All Funds),Estimated Expenditures by Use (All Funds),Estimated Expenditures by Use (All Funds),Estimated Expenditures by Use (All Funds),,,,,,,,
