Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”
"installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.","installs fire hydrants, meters and valves and detects leaks in the distribution system.",Provides routine flushing of,Provides routine flushing of,Provides routine flushing of,Provides routine flushing of
water mains and the installation of service main extensions.,water mains and the installation of service main extensions.,water mains and the installation of service main extensions.,water mains and the installation of service main extensions.,water mains and the installation of service main extensions.,water mains and the installation of service main extensions.,water mains and the installation of service main extensions.,water mains and the installation of service main extensions.,,,,,,
Water Accounts:,Water Accounts:,"Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and","Provide customer service to all users of Norfolk's utility system including billing, collections and"
response to account inquiries.,response to account inquiries.,response to account inquiries.,response to account inquiries.,response to account inquiries.,,,,,,,,,
Engineering:,"Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.","Plan, design, and manage water and sewer system improvements and expansions.",Responsible for,Responsible for
overall construction oversight and project management.,overall construction oversight and project management.,overall construction oversight and project management.,overall construction oversight and project management.,overall construction oversight and project management.,overall construction oversight and project management.,overall construction oversight and project management.,Prevents damage to water and sewer infrastructure by,Prevents damage to water and sewer infrastructure by,Prevents damage to water and sewer infrastructure by,Prevents damage to water and sewer infrastructure by,Prevents damage to water and sewer infrastructure by,Prevents damage to water and sewer infrastructure by,Prevents damage to water and sewer infrastructure by
"marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and","marking underground utilities. Manages the Department's Capital Improvement Program, bond compliance, and"
documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,documents for the maintenance and construction of the City's water and wastewater infrastructure.,
Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations,Accounting & Budget: Responsible for the administration of the Department's finance and accounting operations
"including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond","including the Department budget, accounts payable, payroll, financial reporting, contract compliance, bond"
issuance and capital project financing and rate setting.,issuance and capital project financing and rate setting.,issuance and capital project financing and rate setting.,issuance and capital project financing and rate setting.,issuance and capital project financing and rate setting.,issuance and capital project financing and rate setting.,issuance and capital project financing and rate setting.,,,,,,,
Director's,Office:,Provide,Provide,"administrative,",leadership,leadership,and,management,services,to,the,Department.,Provide
support,services,such,as:,human,"resources,",public,"relations,","communications,","communications,",performance,performance,"tracking,",grants
administration and legislative review.,administration and legislative review.,administration and legislative review.,administration and legislative review.,administration and legislative review.,,,,,,,,,
,,,,,,,,,,,,Water,363
