Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”
,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,
,"vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.",
•,Fund Debt Service,,,FY 2013:,"$1,934,875",Positions:,0
,Support the annual debt service payments for water related projects.,Support the annual debt service payments for water related projects.,Support the annual debt service payments for water related projects.,Support the annual debt service payments for water related projects.,,,
,Water,,,Total FY 2013:,"$2,456,000",Positions:,0
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",1,0,1
Accountant II,Accountant II,OPS011,"$35,886","$57,371",1,0,1
Accounting Manager,Accounting Manager,MAP012,"$57,228","$91,486",1,0,1
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",22,0,22
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",2,0,2
Administrative Secretary,Administrative Secretary,OPS009,"$30,567","$48,870",1,0,1
Applications Development,Applications Development,,,,,,
,,ITM006,"$57,806","$92,410",1,0,1
Team Supervisor,Team Supervisor,,,,,,
Assistant City Engineer,Assistant City Engineer,MAP014,"$65,302","$104,396",1,0,1
Assistant Director of Customer,Assistant Director of Customer,,,,,,
,,SRM007,"$70,477","$124,039",1,0,1
Services & Management,Services & Management,,,,,,
Assistant Director of Utilities,Assistant Director of Utilities,SRM007,"$70,477","$124,039",1,0,1
Assistant Superintendent of,Assistant Superintendent of,,,,,,
,,MAP012,"$57,228","$91,486",4,0,4
Utility Division,Utility Division,,,,,,
Automotive Mechanic,Automotive Mechanic,OPS009,"$30,567","$48,870",1,0,1
Business Manager,Business Manager,MAP008,"$44,351","$70,899",1,0,1
Chief of Construction,Chief of Construction,,,,,,
,,MAP012,"$57,228","$91,486",1,0,1
Operations,Operations,,,,,,
Civil Engineer I,Civil Engineer I,MAP007,"$41,691","$66,652",3,0,3
366,Water,,,,,,
