,Commonwealth,Commonwealth,,,,,,,,"322,484,820","322,484,820","297,439,900","297,439,900","287,313,700"
,Federal,,,,,,,,,"7,460,892","7,460,892","5,589,600","5,589,600","12,345,200"
,Charges for services,Charges for services,Charges for services,,,,,,,"33,071,699","33,071,699","32,368,100","32,368,100","36,273,900"
,Miscellaneous,,,,,,,,,"5,258,757","5,258,757","7,670,300","7,670,300","8,328,300"
,Recovered costs,Recovered costs,,,,,,,,"8,207,635","8,207,635","10,507,000","10,507,000","10,579,200"
,Total Operating Revenues,Total Operating Revenues,Total Operating Revenues,Total Operating Revenues,,,,,,"782,800,541","782,800,541","758,548,700","758,548,700","758,365,900"
,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,,,,,,,,,,
,Personnel services,Personnel services,Personnel services,,,,,,,"240,032,028","240,032,028","247,803,774","247,803,774","257,297,744"
,Contractual services,Contractual services,Contractual services,,,,,,,"51,173,026","51,173,026","50,057,307","50,057,307","46,348,157"
,"Materials, supplies and repairs","Materials, supplies and repairs","Materials, supplies and repairs","Materials, supplies and repairs",,,,,,"33,526,723","33,526,723","36,034,774","36,034,774","38,758,123"
,All purpose appropriations,All purpose appropriations,All purpose appropriations,All purpose appropriations,,,,,,"362,440,524","362,440,524","346,514,222","346,514,222","343,988,236"
,Public assistance,Public assistance,,,,,,,,"19,041,763","19,041,763","21,701,395","21,701,395","21,249,861"
,Total Operating Expenses,Total Operating Expenses,Total Operating Expenses,Total Operating Expenses,,,,,,"706,214,064","706,214,064","702,111,472","702,111,472","707,642,121"
,Operating Income (Loss),Operating Income (Loss),Operating Income (Loss),Operating Income (Loss),,,,,,"76,586,477","76,586,477","56,437,228","56,437,228","50,723,779"
,Non-Operating Revenues (Expenses),Non-Operating Revenues (Expenses),Non-Operating Revenues (Expenses),Non-Operating Revenues (Expenses),Non-Operating Revenues (Expenses),Non-Operating Revenues (Expenses),,,,,,,,
,Money and use of property,Money and use of property,Money and use of property,Money and use of property,,,,,,"6,044,924","6,044,924","6,387,000","6,387,000","6,711,300"
,Capital outlay,,,,,,,,,"(2,404,208)","(2,404,208)","(3,712,049)","(3,712,049)","(2,863,849)"
,Debt service,,,,,,,,,"(65,888,430)","(65,888,430)","(73,305,834)","(73,305,834)","(82,083,190)"
,Acctg. for Encumbrances for Budget not GAAP,Acctg. for Encumbrances for Budget not GAAP,Acctg. for Encumbrances for Budget not GAAP,Acctg. for Encumbrances for Budget not GAAP,Acctg. for Encumbrances for Budget not GAAP,Acctg. for Encumbrances for Budget not GAAP,Acctg. for Encumbrances for Budget not GAAP,,,"1,129,017","1,129,017",,-,-
,Total Non-Operating Revenue/Expense,Total Non-Operating Revenue/Expense,Total Non-Operating Revenue/Expense,Total Non-Operating Revenue/Expense,Total Non-Operating Revenue/Expense,Total Non-Operating Revenue/Expense,,,,"(61,118,697)","(61,118,697)","(70,630,883)","(70,630,883)","(78,235,739)"
,Income (Loss) Before Operating Transfers,Income (Loss) Before Operating Transfers,Income (Loss) Before Operating Transfers,Income (Loss) Before Operating Transfers,Income (Loss) Before Operating Transfers,Income (Loss) Before Operating Transfers,Income (Loss) Before Operating Transfers,,,"15,467,780","15,467,780","(14,193,655)","(14,193,655)","(27,511,960)"
,Operating transfers in,Operating transfers in,Operating transfers in,Operating transfers in,,,,,,"12,566,907","12,566,907","14,913,000","14,913,000","12,202,900"
,Operating transfers out,Operating transfers out,Operating transfers out,Operating transfers out,,,,,,,"(609,666)","(6,509,345)","(6,509,345)","(2,427,040)"
,Total Operating Transfers,Total Operating Transfers,Total Operating Transfers,Total Operating Transfers,,,,,,"11,957,241","11,957,241","8,403,655","8,403,655","9,775,860"
,Net Income (Loss) (restatement)*,Net Income (Loss) (restatement)*,Net Income (Loss) (restatement)*,Net Income (Loss) (restatement)*,Net Income (Loss) (restatement)*,,,,,"3,510,539","3,510,539","(6,930,200)","(6,930,200)","(17,736,100)"
,Beginning fund balance at July 1,Beginning fund balance at July 1,Beginning fund balance at July 1,Beginning fund balance at July 1,Beginning fund balance at July 1,,,,,"58,625,970","58,625,970","77,983,772","77,983,772","71,053,572"
,Ending fund balance at June 30 (restatement)*,Ending fund balance at June 30 (restatement)*,Ending fund balance at June 30 (restatement)*,Ending fund balance at June 30 (restatement)*,Ending fund balance at June 30 (restatement)*,Ending fund balance at June 30 (restatement)*,Ending fund balance at June 30 (restatement)*,,,"77,983,772","77,983,772","71,053,572","71,053,572","53,317,472"
*,Restatement,of,FY,2010,ending,fund,balance,and,FY,2011,net,income/(loss),reflects,accounting
adjustments due to GASB 54.,adjustments due to GASB 54.,adjustments due to GASB 54.,adjustments due to GASB 54.,adjustments due to GASB 54.,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are,The FY 2010 ending fund balance and FY 2011 net income/(loss) are
preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,preliminary pending the completion of the year-end independent financial audit.,,
,,,,,,,,,,,Summary of Changes in Fund Balances,Summary of Changes in Fund Balances,Summary of Changes in Fund Balances,45
