State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,State revenue estimates for FY 2012 are 2.3 percent higher than the FY 2011 budget.,HB599 funds are,HB599 funds are,HB599 funds are,HB599 funds are
slightly increased,slightly increased,over the FY,over the FY,2012,plan,amount as the General Assembly had,amount as the General Assembly had,amount as the General Assembly had,amount as the General Assembly had,amount as the General Assembly had,amount as the General Assembly had,restored,some of the,some of the,some of the
reduced funding.,reduced funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,Sales Tax for Education accounts for the largest increase in State funding.,,This is based,This is based,This is based
on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,on a formula where the County receives a portion of overall State Sales Tax revenues.,Communication,Communication,Communication,Communication
Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,Sales & Use Taxes have been adjusted based on expected FY 2011 collections.,,,,,
The State Car Tax,The State Car Tax,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,Reimbursement is the State’s share of the “No Car Tax” initiative,and it has the,and it has the,and it has the,and it has the
following impact on local taxpayers:,following impact on local taxpayers:,following impact on local taxpayers:,following impact on local taxpayers:,following impact on local taxpayers:,,,,,,,,,,,
,,,,,,,FY 11,,FY 12,FY 12,,FY 12,FY 12,,
,,,,,,,Adopted,,Plan,,,Adopted,Adopted,,
,Local Collections,Local Collections,,,$,,"14,590,859",$,"15,310,714","15,310,714",$,"15,331,816","15,331,816","15,331,816",
,From the Commonwealth,From the Commonwealth,From the Commonwealth,From the Commonwealth,,,"9,770,137",,"9,770,137","9,770,137",,"9,770,137","9,770,137","9,770,137",
,,,,,$,,"24,360,996",$,"25,080,851","25,080,851",$,"25,101,953","25,101,953","25,101,953",
"The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY 2011 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began"
in 2006.,"The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 58 percent of the ""Car Tax"" for an eligible personal"
use vehicle.,,,,,,,,,,,,,,,
,,,,,,,Page B-9,,,,,,,,
