,Other Fees for Service,Other Fees for Service,Other Fees for Service,Other Fees for Service,Other Fees for Service,,"116,000",,"83,750",,,"110,500",,,"109,000","109,000"
Parks and Recreation Revenues,Parks and Recreation Revenues,Parks and Recreation Revenues,Parks and Recreation Revenues,Parks and Recreation Revenues,Parks and Recreation Revenues,,"2,649,675",,"2,529,586",,,"2,901,221",,,"2,901,221","2,901,221"
,,,ALS/BLS Fees,ALS/BLS Fees,ALS/BLS Fees,,"1,605,000",,"1,650,000",,,"1,670,000",,,"1,710,000","1,710,000"
,,,,,Total,$,"4,733,175",$,"4,583,336",,$,"5,006,721",,$,"5,050,221","5,050,221"
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,
This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to
citizens and other public agencies.,citizens and other public agencies.,citizens and other public agencies.,citizens and other public agencies.,citizens and other public agencies.,citizens and other public agencies.,citizens and other public agencies.,"It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water"
"and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.",,,,,
One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,
New,and,increased,increased,Recreation,Recreation,user fees are included,user fees are included,user fees are included,in,this proposal.,this proposal.,"The County Administrator,","The County Administrator,","The County Administrator,","The County Administrator,",by
"County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.","County Code, has the authority to increase Recreation user fees.",Rec Connect Before & After School fee,Rec Connect Before & After School fee,Rec Connect Before & After School fee,Rec Connect Before & After School fee,Rec Connect Before & After School fee,Rec Connect Before & After School fee,Rec Connect Before & After School fee
increases,increases,of,$5,per,"week,",Community,Center,fee,increases,and,facility,usage,fees,that,the,County
Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,Administrator has approved are all included in the revenue estimate.,,,,,,,
Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,Estimates for ALS/BLS (Advanced Life Support/Basic Life Support) fees show modest growth.,
,,,,,,,Page B-11,Page B-11,Page B-11,,,,,,,
