,"firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and"
,other facilities,,,,,,,
5.,Educate citizens about fire safety through programs and materials targeted at elementary school,Educate citizens about fire safety through programs and materials targeted at elementary school,Educate citizens about fire safety through programs and materials targeted at elementary school,Educate citizens about fire safety through programs and materials targeted at elementary school,Educate citizens about fire safety through programs and materials targeted at elementary school,Educate citizens about fire safety through programs and materials targeted at elementary school,Educate citizens about fire safety through programs and materials targeted at elementary school,Educate citizens about fire safety through programs and materials targeted at elementary school
,"children, adults, persons with disabilities, and seniors","children, adults, persons with disabilities, and seniors","children, adults, persons with disabilities, and seniors","children, adults, persons with disabilities, and seniors",,,,
6.,"Respond to a projected 9,100 calls for emergency response","Respond to a projected 9,100 calls for emergency response","Respond to a projected 9,100 calls for emergency response","Respond to a projected 9,100 calls for emergency response",,,,
7.,"Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,100 patients and hospital"
,"transportation for a projected 4,900 of those patients","transportation for a projected 4,900 of those patients","transportation for a projected 4,900 of those patients","transportation for a projected 4,900 of those patients",,,,
8.,Review and update all County emergency plans and participate in Commonwealth and Regional,Review and update all County emergency plans and participate in Commonwealth and Regional,Review and update all County emergency plans and participate in Commonwealth and Regional,Review and update all County emergency plans and participate in Commonwealth and Regional,Review and update all County emergency plans and participate in Commonwealth and Regional,Review and update all County emergency plans and participate in Commonwealth and Regional,Review and update all County emergency plans and participate in Commonwealth and Regional,Review and update all County emergency plans and participate in Commonwealth and Regional
,Emergency Planning initiatives,Emergency Planning initiatives,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,
,,,FY 12,,FY 13,,FY 14,
,,,Adopted,,Adopted,,Plan,
,Personnel,$,"8,634,660",$,"9,063,841",$,"9,182,842",
,Operating,,"648,900",,"643,900",,"653,600",
,Capital,,"258,200",,"126,500",,"190,900",
,Credits/Other,,"(12,800)",,"(15,000)",,"(15,000)",
,Total,$,"9,528,960",$,"9,819,241",$,"10,012,342",
PERSONNEL,,,,,,,,
,Full-time Personnel,,110,,110,,110,
,Part-time Personnel,,0,,1,,1,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,,FY 11,,FY 12,,FY 13,FY 14
,,,Actual,,Projected,Adopted,,Plan
Average response time for first arriving,Average response time for first arriving,Average response time for first arriving,,,,,,
,unit (all incidents),unit (all incidents),5:43,5:43,5:40,,5:46,5:46
# Calls for fires and other emergencies,# Calls for fires and other emergencies,# Calls for fires and other emergencies,"2,786","2,786","2,850",,"3,025","3,100"
,# Training hours for career staff,# Training hours for career staff,"19,521","19,521","24,000",,"24,000","24,000"
# Inspections for Fire Code enforcement,# Inspections for Fire Code enforcement,# Inspections for Fire Code enforcement,"1,735","1,735","2,000",,"2,000","2,000"
,,,Page C-18,Page C-18,,,,
