4.,Provide emergency medical direction such as CPR and childbirth assistance,Provide emergency medical direction such as CPR and childbirth assistance,Provide emergency medical direction such as CPR and childbirth assistance,Provide emergency medical direction such as CPR and childbirth assistance,Provide emergency medical direction such as CPR and childbirth assistance,Provide emergency medical direction such as CPR and childbirth assistance,,
5.,"Jointly operate regional radio system with York and Gloucester counties, supporting area localities,","Jointly operate regional radio system with York and Gloucester counties, supporting area localities,","Jointly operate regional radio system with York and Gloucester counties, supporting area localities,","Jointly operate regional radio system with York and Gloucester counties, supporting area localities,","Jointly operate regional radio system with York and Gloucester counties, supporting area localities,","Jointly operate regional radio system with York and Gloucester counties, supporting area localities,","Jointly operate regional radio system with York and Gloucester counties, supporting area localities,","Jointly operate regional radio system with York and Gloucester counties, supporting area localities,"
,"public safety departments, schools, service authorities, transportation agencies, and the regional jail","public safety departments, schools, service authorities, transportation agencies, and the regional jail","public safety departments, schools, service authorities, transportation agencies, and the regional jail","public safety departments, schools, service authorities, transportation agencies, and the regional jail","public safety departments, schools, service authorities, transportation agencies, and the regional jail","public safety departments, schools, service authorities, transportation agencies, and the regional jail","public safety departments, schools, service authorities, transportation agencies, and the regional jail","public safety departments, schools, service authorities, transportation agencies, and the regional jail"
6.,"Update national database with information about a projected 3,800 wanted or missing people and","Update national database with information about a projected 3,800 wanted or missing people and","Update national database with information about a projected 3,800 wanted or missing people and","Update national database with information about a projected 3,800 wanted or missing people and","Update national database with information about a projected 3,800 wanted or missing people and","Update national database with information about a projected 3,800 wanted or missing people and","Update national database with information about a projected 3,800 wanted or missing people and","Update national database with information about a projected 3,800 wanted or missing people and"
,missing or stolen property,,,,,,,
7.,Prepare for emergencies by participating in National Weather Service and Surry Power Plant,Prepare for emergencies by participating in National Weather Service and Surry Power Plant,Prepare for emergencies by participating in National Weather Service and Surry Power Plant,Prepare for emergencies by participating in National Weather Service and Surry Power Plant,Prepare for emergencies by participating in National Weather Service and Surry Power Plant,Prepare for emergencies by participating in National Weather Service and Surry Power Plant,Prepare for emergencies by participating in National Weather Service and Surry Power Plant,Prepare for emergencies by participating in National Weather Service and Surry Power Plant
,exercises,,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,
,,,FY 12,,FY 13,,FY 14,
,,,Adopted,,Adopted,,Plan,
,Personnel,$,"1,658,482",$,"1,740,209",$,"1,767,766",
,Operating,,"1,272,100",,"1,351,900",,"1,411,900",
,Capital,,"6,200",,500,,500,
,Credits/Other,,"(444,527)",,"(428,049)",,"(453,732)",
,Total,$,"2,492,255",$,"2,664,560",$,"2,726,434",
PERSONNEL,,,,,,,,
,Full-time Personnel,,26,,26,,26,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,,FY 11,,FY 12,,FY 13,FY 14
,,,Actual,,Projected,Adopted,,Plan
# Calls for Emergency Medical Services,# Calls for Emergency Medical Services,# Calls for Emergency Medical Services,"5,956","5,956","6,100",,"6,250","6,400"
,# E-911 land line calls received,# E-911 land line calls received,"13,026","13,026","11,750",,"11,500","11,000"
,# Wireless 911 calls received,# Wireless 911 calls received,"16,458","16,458","17,350",,"19,500","21,000"
,# Other dispatch calls received,# Other dispatch calls received,"78,192","78,192","118,000",,"84,500","85,000"
,# Emergency calls dispatched -,# Emergency calls dispatched -,,,,,,
,Fire/EMS,Fire/EMS,"8,647","8,647","9,600",,"9,500","10,000"
# Emergency calls dispatched - Police,# Emergency calls dispatched - Police,# Emergency calls dispatched - Police,"43,765","43,765","63,575",,"53,500","63,000"
BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,
This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio,This budget includes increased costs associated with the contract for maintenance for the regional radio
system and the Enhanced 911 (E911) equipment and CAD system.,system and the Enhanced 911 (E911) equipment and CAD system.,system and the Enhanced 911 (E911) equipment and CAD system.,system and the Enhanced 911 (E911) equipment and CAD system.,system and the Enhanced 911 (E911) equipment and CAD system.,system and the Enhanced 911 (E911) equipment and CAD system.,,,
,,,Page C-21,Page C-21,,,,
