Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”
,the responsibility.,the responsibility.,the responsibility.,,,,,,,,,,
•,"Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to","Hosted the first annual Half Marathon in the city, with preparations for the event to",become a Marathon in,become a Marathon in,become a Marathon in
,future years.,,,,,,,,,,,,
•,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,Broke ground on a new modern theatre and exhibit space at the MacArthur Memorial.,,,
•,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,Promoted the tenth season of the “Discovery Series” at the historic Attucks Theatre.,,,
•,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”,Increased the department’s recycling program to help the city reach new goals for sustainability and “Green”
,initiatives.,,,,,,,,,,,,
DEVELOPMENT,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT,,,,,,,,,,
•,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo,Assisted with the expansion of AECOM Technology Corporation – Regional headquarters in the Wells Fargo
,building.,,,,,,,,,,,,
•,Assisted,with,new,business,expansions,including,Universal,Air,"Products,",HB,"Hunter,",URS,"Corporation,"
,"Fantomworks, Marine Hydraulics International, and Katoen Natie.","Fantomworks, Marine Hydraulics International, and Katoen Natie.","Fantomworks, Marine Hydraulics International, and Katoen Natie.","Fantomworks, Marine Hydraulics International, and Katoen Natie.","Fantomworks, Marine Hydraulics International, and Katoen Natie.","Fantomworks, Marine Hydraulics International, and Katoen Natie.","Fantomworks, Marine Hydraulics International, and Katoen Natie.",,,,,,
•,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby,Administered a Performance Grant to Urban Outfitters to facilitate the economic renewal of retail on Granby
,Street.,,,,,,,,,,,,
•,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and,Assisted in the revitalization of Wards Corner which resulted in the announcement of a new Harris Teeter and
,the rehabilitation of the Midtown Shopping Center.,the rehabilitation of the Midtown Shopping Center.,the rehabilitation of the Midtown Shopping Center.,the rehabilitation of the Midtown Shopping Center.,the rehabilitation of the Midtown Shopping Center.,the rehabilitation of the Midtown Shopping Center.,,,,,,,
•,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,Developed the “It’s Your Turn” employ Norfolk workforce development initiative.,,,
•,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,Created the OpSail Virginia 2012 certified business initiative to service local small businesses.,,
•,"Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial","Developed “City Sites,” an online interactive, database of city owned properties available for sizable commercial"
,development.,development.,,,,,,,,,,,
•,Participated,in,diversity,business,"initiatives,",outreach,to,"entrepreneurs,",and,and,presented,information,on
,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,government procurement and small and women owned businesses (SWAM) opportunities.,,
•,"Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in","Collaborated with local universities, medical, energy and technology sectors to promote new business growth in"
,Norfolk.,,,,,,,,,,,,
,,,,,,,,,,Prior Year Accomplishments,Prior Year Accomplishments,Prior Year Accomplishments,83
