Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”
"•The Master Infrastructure Rehabilitation Plan, the Strategic Financial Plan and the Asset Replacement Valuation Study of the Department of Public","•The Master Infrastructure Rehabilitation Plan, the Strategic Financial Plan and the Asset Replacement Valuation Study of the Department of Public","•The Master Infrastructure Rehabilitation Plan, the Strategic Financial Plan and the Asset Replacement Valuation Study of the Department of Public","•The Master Infrastructure Rehabilitation Plan, the Strategic Financial Plan and the Asset Replacement Valuation Study of the Department of Public","•The Master Infrastructure Rehabilitation Plan, the Strategic Financial Plan and the Asset Replacement Valuation Study of the Department of Public","•The Master Infrastructure Rehabilitation Plan, the Strategic Financial Plan and the Asset Replacement Valuation Study of the Department of Public","•The Master Infrastructure Rehabilitation Plan, the Strategic Financial Plan and the Asset Replacement Valuation Study of the Department of Public",
Utilities all support this project.,Utilities all support this project.,,,,,,
,,,Funding Strategy,Funding Strategy,,,
•This is an on-going project that will continue until all water mains that are past their useful life are replaced.,•This is an on-going project that will continue until all water mains that are past their useful life are replaced.,•This is an on-going project that will continue until all water mains that are past their useful life are replaced.,•This is an on-going project that will continue until all water mains that are past their useful life are replaced.,•This is an on-going project that will continue until all water mains that are past their useful life are replaced.,,,
•Work will continue with Engineering Department improvements in the Brighton/South Portsmouth and Simonsdale Neighborhoods while planning and,•Work will continue with Engineering Department improvements in the Brighton/South Portsmouth and Simonsdale Neighborhoods while planning and,•Work will continue with Engineering Department improvements in the Brighton/South Portsmouth and Simonsdale Neighborhoods while planning and,•Work will continue with Engineering Department improvements in the Brighton/South Portsmouth and Simonsdale Neighborhoods while planning and,•Work will continue with Engineering Department improvements in the Brighton/South Portsmouth and Simonsdale Neighborhoods while planning and,•Work will continue with Engineering Department improvements in the Brighton/South Portsmouth and Simonsdale Neighborhoods while planning and,•Work will continue with Engineering Department improvements in the Brighton/South Portsmouth and Simonsdale Neighborhoods while planning and,
construction will commence in the Ebony Heights Neighborhoods.,construction will commence in the Ebony Heights Neighborhoods.,construction will commence in the Ebony Heights Neighborhoods.,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"This project will reduce the possibility of major water and sewer system failures, decreasing maintenance requirements as more piping is replaced.","This project will reduce the possibility of major water and sewer system failures, decreasing maintenance requirements as more piping is replaced.","This project will reduce the possibility of major water and sewer system failures, decreasing maintenance requirements as more piping is replaced.","This project will reduce the possibility of major water and sewer system failures, decreasing maintenance requirements as more piping is replaced.","This project will reduce the possibility of major water and sewer system failures, decreasing maintenance requirements as more piping is replaced.","This project will reduce the possibility of major water and sewer system failures, decreasing maintenance requirements as more piping is replaced.","This project will reduce the possibility of major water and sewer system failures, decreasing maintenance requirements as more piping is replaced.",
Debt service and rates will increase to support this program.,Debt service and rates will increase to support this program.,Debt service and rates will increase to support this program.,,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/04 - 06/15,"30,879,501"
,,,Design,Design,,07/06 - 06/15,"4,808,250"
,,,Construction,Construction,,07/06 - 06/15,"40,690,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"76,377,751"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,Other - Federal Funding,Other - Federal Funding,,,"626,800"
,,,Other - Local Funding,Other - Local Funding,,,"1,800"
,,,Other-Economic Stimulus-PU,Other-Economic Stimulus-PU,,,"4,808,250"
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"57,748,181"
,,,Transfer from Public Utilities Fund,Transfer from Public Utilities Fund,,,"13,192,720"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"76,377,751"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,21,21,,Capital Improvements,Capital Improvements
