Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”
"This neighborhood is one of four priority neighborhoods in the City being funded for street, drainage, and neighborhood improvements","This neighborhood is one of four priority neighborhoods in the City being funded for street, drainage, and neighborhood improvements","This neighborhood is one of four priority neighborhoods in the City being funded for street, drainage, and neighborhood improvements","This neighborhood is one of four priority neighborhoods in the City being funded for street, drainage, and neighborhood improvements","This neighborhood is one of four priority neighborhoods in the City being funded for street, drainage, and neighborhood improvements","This neighborhood is one of four priority neighborhoods in the City being funded for street, drainage, and neighborhood improvements","This neighborhood is one of four priority neighborhoods in the City being funded for street, drainage, and neighborhood improvements",
,,,Funding Strategy,,,,
"Previously, all four neighborhood projects were funded with $800,000 every four years; $100,000 for design and $700,000 for construction. As","Previously, all four neighborhood projects were funded with $800,000 every four years; $100,000 for design and $700,000 for construction. As","Previously, all four neighborhood projects were funded with $800,000 every four years; $100,000 for design and $700,000 for construction. As","Previously, all four neighborhood projects were funded with $800,000 every four years; $100,000 for design and $700,000 for construction. As","Previously, all four neighborhood projects were funded with $800,000 every four years; $100,000 for design and $700,000 for construction. As","Previously, all four neighborhood projects were funded with $800,000 every four years; $100,000 for design and $700,000 for construction. As","Previously, all four neighborhood projects were funded with $800,000 every four years; $100,000 for design and $700,000 for construction. As",
"the cost of materials increase, the amount of neighborhood improvements completed at the $800,000 funding level has significantly declined. FY08","the cost of materials increase, the amount of neighborhood improvements completed at the $800,000 funding level has significantly declined. FY08","the cost of materials increase, the amount of neighborhood improvements completed at the $800,000 funding level has significantly declined. FY08","the cost of materials increase, the amount of neighborhood improvements completed at the $800,000 funding level has significantly declined. FY08","the cost of materials increase, the amount of neighborhood improvements completed at the $800,000 funding level has significantly declined. FY08","the cost of materials increase, the amount of neighborhood improvements completed at the $800,000 funding level has significantly declined. FY08","the cost of materials increase, the amount of neighborhood improvements completed at the $800,000 funding level has significantly declined. FY08",
"marks the beginning of increasing the funding level for the City’s four neighborhood projects. In the first year of the FY08-12 CIP, $500,000 has","marks the beginning of increasing the funding level for the City’s four neighborhood projects. In the first year of the FY08-12 CIP, $500,000 has","marks the beginning of increasing the funding level for the City’s four neighborhood projects. In the first year of the FY08-12 CIP, $500,000 has","marks the beginning of increasing the funding level for the City’s four neighborhood projects. In the first year of the FY08-12 CIP, $500,000 has","marks the beginning of increasing the funding level for the City’s four neighborhood projects. In the first year of the FY08-12 CIP, $500,000 has","marks the beginning of increasing the funding level for the City’s four neighborhood projects. In the first year of the FY08-12 CIP, $500,000 has","marks the beginning of increasing the funding level for the City’s four neighborhood projects. In the first year of the FY08-12 CIP, $500,000 has",
been added to the Ebony Heights neighborhood project. The future years of the CIP are increased as follows:,been added to the Ebony Heights neighborhood project. The future years of the CIP are increased as follows:,been added to the Ebony Heights neighborhood project. The future years of the CIP are increased as follows:,been added to the Ebony Heights neighborhood project. The future years of the CIP are increased as follows:,been added to the Ebony Heights neighborhood project. The future years of the CIP are increased as follows:,,,
"FY09 - $500,000",,,,,,,
"FY10 - $550,000",,,,,,,
"FY11 - $600,000",,,,,,,
"FY12 - $650,000.",,,,,,,
"By 2012, the funding level for neighborhood improvements will reach $1,500,000.","By 2012, the funding level for neighborhood improvements will reach $1,500,000.","By 2012, the funding level for neighborhood improvements will reach $1,500,000.","By 2012, the funding level for neighborhood improvements will reach $1,500,000.",,,,
"Due to fiscally contrained economic conditions, the next funding phase is $900,000 in FY2016","Due to fiscally contrained economic conditions, the next funding phase is $900,000 in FY2016","Due to fiscally contrained economic conditions, the next funding phase is $900,000 in FY2016","Due to fiscally contrained economic conditions, the next funding phase is $900,000 in FY2016",,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Design,,,07/09 - 06/10,"150,000"
,,,Construction,,,07/10 - 06/12,"2,751,212"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,901,212"
,,,,,Means of Financing,Means of Financing,
,,,,Funding Source,,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"2,813,855"
,,,Sale of Property,,,,"87,357"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,901,212"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,42,,,Capital Improvements,Capital Improvements
