Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”
"•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system,","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system,","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system,","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system,","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system,","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system,","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system,",
thereby increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir,thereby increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir,thereby increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir,thereby increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir,thereby increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir,thereby increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir,thereby increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir,
allowing for water quality adjustments.,allowing for water quality adjustments.,,,,,,
•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,
,,,Funding Strategy,,,,
"Design of the facilities is expected in FY 09, with construction to follow in FY 10.","Design of the facilities is expected in FY 09, with construction to follow in FY 10.","Design of the facilities is expected in FY 09, with construction to follow in FY 10.",,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Once completed, this project will have minimal impact on the operating budget.","Once completed, this project will have minimal impact on the operating budget.","Once completed, this project will have minimal impact on the operating budget.",,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Design,,,07/09 - 06/10,"800,000"
,,,Construction,,,07/10 - 06/15,"10,000,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"10,800,000"
,,,,,Means of Financing,Means of Financing,
,,,,Funding Source,Funding Source,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"10,800,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"10,800,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,22,,,Capital Improvements,Capital Improvements
