Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”
"Funding for this project has been budgeted at $200,000 per year and includes a 4% CPI factor to cover the cost of inflation.$250,000 bond funding","Funding for this project has been budgeted at $200,000 per year and includes a 4% CPI factor to cover the cost of inflation.$250,000 bond funding","Funding for this project has been budgeted at $200,000 per year and includes a 4% CPI factor to cover the cost of inflation.$250,000 bond funding","Funding for this project has been budgeted at $200,000 per year and includes a 4% CPI factor to cover the cost of inflation.$250,000 bond funding","Funding for this project has been budgeted at $200,000 per year and includes a 4% CPI factor to cover the cost of inflation.$250,000 bond funding","Funding for this project has been budgeted at $200,000 per year and includes a 4% CPI factor to cover the cost of inflation.$250,000 bond funding","Funding for this project has been budgeted at $200,000 per year and includes a 4% CPI factor to cover the cost of inflation.$250,000 bond funding",
in FY15 was replaced with transfer from general fund.this is as part of exercise to keep the city in compliance of it's funding policy for,in FY15 was replaced with transfer from general fund.this is as part of exercise to keep the city in compliance of it's funding policy for,in FY15 was replaced with transfer from general fund.this is as part of exercise to keep the city in compliance of it's funding policy for,in FY15 was replaced with transfer from general fund.this is as part of exercise to keep the city in compliance of it's funding policy for,in FY15 was replaced with transfer from general fund.this is as part of exercise to keep the city in compliance of it's funding policy for,in FY15 was replaced with transfer from general fund.this is as part of exercise to keep the city in compliance of it's funding policy for,in FY15 was replaced with transfer from general fund.this is as part of exercise to keep the city in compliance of it's funding policy for,
CIP.$12400000 bond funding was also removed from New county street garage project to make up the $12.65m in total,CIP.$12400000 bond funding was also removed from New county street garage project to make up the $12.65m in total,CIP.$12400000 bond funding was also removed from New county street garage project to make up the $12.65m in total,CIP.$12400000 bond funding was also removed from New county street garage project to make up the $12.65m in total,CIP.$12400000 bond funding was also removed from New county street garage project to make up the $12.65m in total,CIP.$12400000 bond funding was also removed from New county street garage project to make up the $12.65m in total,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
Maintaining the garages properly prevents escalating maintenance costs.,Maintaining the garages properly prevents escalating maintenance costs.,Maintaining the garages properly prevents escalating maintenance costs.,,,,,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/06 - 06/15,"2,780,244"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,780,244"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"2,080,244"
,,,Sale of Property,Sale of Property,,,"400,000"
,,,Transfer from General Fund,Transfer from General Fund,,,"300,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,780,244"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,104,104,,Capital Improvements,Capital Improvements
