Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”
"wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential",
health risk to the public.,,,,,,,
,,,Funding Strategy,Funding Strategy,,,
"The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize",
"sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by",
"phased, multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.","phased, multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.","phased, multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.","phased, multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.","phased, multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.","phased, multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.","phased, multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.",
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.",
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/06 - 06/08,"1,850,000"
,,,Design,Design,,07/06 - 06/15,"3,390,000"
,,,Construction,Construction,,07/08 - 06/15,"36,760,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"42,000,000"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"42,000,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"42,000,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,13,13,,Capital Improvements,Capital Improvements
