Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”
stymied because of its deteriorated condition. The HOPE VI grant will provide the necessary funding to serve as an investment catalyst to bring,stymied because of its deteriorated condition. The HOPE VI grant will provide the necessary funding to serve as an investment catalyst to bring,stymied because of its deteriorated condition. The HOPE VI grant will provide the necessary funding to serve as an investment catalyst to bring,stymied because of its deteriorated condition. The HOPE VI grant will provide the necessary funding to serve as an investment catalyst to bring,stymied because of its deteriorated condition. The HOPE VI grant will provide the necessary funding to serve as an investment catalyst to bring,stymied because of its deteriorated condition. The HOPE VI grant will provide the necessary funding to serve as an investment catalyst to bring,,
back businesses to the Midtown corridor.,back businesses to the Midtown corridor.,,,,,,
,,,Funding Strategy,,,,
"Total City commitment is $2.1 million dollars over a six year period, beginning in FY2006 and ending in FY2012.","Total City commitment is $2.1 million dollars over a six year period, beginning in FY2006 and ending in FY2012.","Total City commitment is $2.1 million dollars over a six year period, beginning in FY2006 and ending in FY2012.","Total City commitment is $2.1 million dollars over a six year period, beginning in FY2006 and ending in FY2012.","Total City commitment is $2.1 million dollars over a six year period, beginning in FY2006 and ending in FY2012.",,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/05 - 06/11,"2,100,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,100,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"1,750,000"
,,,Sale of Property,,,,"350,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,100,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,45,,,Capital Improvements,Capital Improvements
