Name: “Table 1 of 1 on page 3 of 8”,Name: “Table 1 of 1 on page 3 of 8”,Name: “Table 1 of 1 on page 3 of 8”,Name: “Table 1 of 1 on page 3 of 8”,Name: “Table 1 of 1 on page 3 of 8”,Name: “Table 1 of 1 on page 3 of 8”,Name: “Table 1 of 1 on page 3 of 8”,Name: “Table 1 of 1 on page 3 of 8”
"to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in",
"non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were",
reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,
reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,,,
,,FY 2010,FY 2011,FY 2011,,FY 2012,FY 2013
,Expenditure Categories,Actual,Adopted,Amended,,Adopted,Planned
,Salaries,-,"-4,101,578",,-,"427,500","427,500"
,Benefits,"270,529","-2,385,532",,-,"757,547","757,547"
Contractual-Jail Per Diem,,"2,624,774","3,166,375",,-,"3,544,150","3,909,150"
,Contractual-Other,"156,699","51,000",,-,"51,000","51,000"
Supp-Sympathy Flowers,,-,"3,060",,-,"3,060","3,060"
Util-Water Hydrant Chgs,,"298,440","298,440",,-,"298,440","298,440"
,Tele-Telephone,"501,105","397,786",,-,"621,500","621,500"
Tele-Telephone Cellular,,"5,537",-,,-,"180,000","180,000"
Tele-Handheld Communications,,-,"20,000",,-,"20,000","20,000"
Training-Department Head,,"14,056","28,000",,-,"28,000","28,000"
Line of Duty for Public Safety,,-,-,,-,"140,000","140,000"
Civ Orgs-Eastern VA Med School,,"45,000","45,000",,-,"45,000","45,000"
Civ Orgs-HR Planning District,,"169,607","172,820",,-,"183,757","183,757"
Civ Orgs-HR Sports Commission,,-,"15,805",,-,"15,805","15,805"
Civ Orgs-Sports Hall of Fame,,"800,000","550,000",,-,"550,000","550,000"
Civ Orgs-Lowes Annual Incent,,"175,000","175,000",,-,-,-
Civ Orgs-Milit/Fed Fac Allianc,,"49,257","49,257",,-,"49,257","49,257"
Civ Orgs-Comm. Health Center,,"76,198","76,198",,-,"76,198","76,198"
Civ Orgs-Portsmouth Partnersh,,"25,000","25,000",,-,"25,000","25,000"
Civ Orgs-Natl League Cities,,"8,743","7,928",,-,"7,928","7,928"
,Civ Orgs-Events,-,"18,194",,-,"18,194","18,194"
PA-Hospitalization of Indigent,,-,"33,336",,-,"33,336","33,336"
Sr Citizen Tax Relief,,"2,477,115","3,000,000",,-,"3,000,000","3,000,000"
State Aid Budget Reductions,,"597,773","1,193,378",,-,"1,193,378","1,193,378"
Emergency Drought Funding-Golf,,-,-,,-,"50,000","50,000"
,Prepaid Bonus,-,-,,-,"916,069",-
Recreation Initiatives,,-,-,,-,"515,000",-
,Bad Debt Expense,"-291,236",-,,-,-,-
,RE Tax Int Misc Exp,"18,363",-,,-,-,-
Internal Service Charges,,"914,699","917,603",,-,"947,975","958,223"
,Net Budget,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,Total Budget,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,,FY 2010,FY 2011,FY 2011,,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,,Adopted,Planned
,100 General Fund,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,Total Funding,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,Fiscal Year 2012,3,,,,,Non-Departmental
