Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”
"Sanitary sewer failures disrupt service to customers, cause overflows which create public health and environmental problems and cause the overlying","Sanitary sewer failures disrupt service to customers, cause overflows which create public health and environmental problems and cause the overlying","Sanitary sewer failures disrupt service to customers, cause overflows which create public health and environmental problems and cause the overlying","Sanitary sewer failures disrupt service to customers, cause overflows which create public health and environmental problems and cause the overlying","Sanitary sewer failures disrupt service to customers, cause overflows which create public health and environmental problems and cause the overlying","Sanitary sewer failures disrupt service to customers, cause overflows which create public health and environmental problems and cause the overlying","Sanitary sewer failures disrupt service to customers, cause overflows which create public health and environmental problems and cause the overlying",
streets and property to fail.,,,,,,,
,,,Funding Strategy,Funding Strategy,,,
This is an on-going project that is necessary for the proper operation of the system due to failures caused by age and deterioration.,This is an on-going project that is necessary for the proper operation of the system due to failures caused by age and deterioration.,This is an on-going project that is necessary for the proper operation of the system due to failures caused by age and deterioration.,This is an on-going project that is necessary for the proper operation of the system due to failures caused by age and deterioration.,This is an on-going project that is necessary for the proper operation of the system due to failures caused by age and deterioration.,This is an on-going project that is necessary for the proper operation of the system due to failures caused by age and deterioration.,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.",
,Project Map,,,,Schedule of Activities,,
,,,,,Project Activities,From - To,Amount
,,,Construction,Construction,,07/06 - 06/17,"9,734,763"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"9,734,763"
,,,,,Means of Financing,,
,,,,,Funding Source,,Amount
,,,Sale of Timber,Sale of Timber,,,"230,000"
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"8,704,763"
,,,Transfer from Public Utilities Fund,Transfer from Public Utilities Fund,,,"800,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"9,734,763"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 10,14 - 10,,Capital Improvements,Capital Improvements
