Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”,Name: “Table 1 of 1 on page 51 of 212”
include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges,include administrative responsibilities as well as presiding over cases set before the court. All Judges
"currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the","currently preside over cases. The Clerk of Court maintains the courts budget, monitors the needs of the"
"court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,","court, public and criminal justice agencies, and ensures the courts compliance with statutory requirements,"
policies and procedures.,policies and procedures.,policies and procedures.,policies and procedures.,"The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all","The Pre-Court Supervisor, In-Court Supervisor, and Accounting Supervisor all"
maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on,maintain direct supervision over their respective departments; and participate with team members on
"ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,","ensuring efficient and effective caseload processing. The court currently has two File Clerks, a Receptionist,"
"five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.","five Pre-Court Clerks, 10 Deputy Clerks, and two Accounting Clerks.",,,,
PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,,,,,,,
The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse,The Norfolk Juvenile and Domestic Relations District Court is continuing to formulate and offer diverse
professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,professional training opportunities for staff; thereby improving the delivery of services.,,
BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,,,,,,,,,
"The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100","The total FY 2012 budget for the Juvenile and Domestic Relations District Court is $94,700. This is a $1,100"
decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary,decrease from the FY 2011 budget. This one percent decrease is attributable to reductions in discretionary
expenses.,expenses.,,,,,,,,,,,,
KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,,,,,,,,
The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the,The Norfolk Juvenile and Domestic Relations District Court will continue to provide court services to the
citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles,citizens of the City of Norfolk in matters involving the following types of cases: delinquents; juveniles
accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected,accused of traffic violations; children in need of services or supervision; children who have been subjected
to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of,to abuse or neglect; family or household members who have been subjected to abuse; adults accused of
"child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes","child abuse, neglect or other offenses against members of their own family; adults involved in disputes"
,,,,,,,,,Juvenile & Domestic Relations Court,Juvenile & Domestic Relations Court,Juvenile & Domestic Relations Court,Juvenile & Domestic Relations Court,121
