Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”
•,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan,Provide long-range planning of the City's financial obligations including the Capital Improvement Plan
,and the Five-Year Financial Forecast.,and the Five-Year Financial Forecast.,and the Five-Year Financial Forecast.,and the Five-Year Financial Forecast.,and the Five-Year Financial Forecast.,,,,,,,,
•,Manage,Federal,and,State,grant,programs,throughout,the,"year,",particularly,the,City's,annual
,Community Development Block Grant award.,Community Development Block Grant award.,Community Development Block Grant award.,Community Development Block Grant award.,Community Development Block Grant award.,Community Development Block Grant award.,,,,,,,
Expenditure Summary,Expenditure Summary,Expenditure Summary,Expenditure Summary,Expenditure Summary,,,,,,,,,
,,,,,,,FY 2009,,FY 2010,FY 2010,FY 2011,FY 2012,FY 2012
,,,,,,,Actual,,Actual,Actual,Approved,Approved,Approved
Personnel Services,Personnel Services,Personnel Services,,,,,"641,928",,"838,620","838,620","1,008,560","1,038,475","1,038,475"
"Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs",,,"9,834",,"8,552","8,552","16,043",,"13,905"
Contractual Services,Contractual Services,Contractual Services,Contractual Services,,,,"8,533",,"18,667","18,667","15,642",,"14,665"
Equipment,Equipment,,,,,,0,,"2,709","2,709",655,,655
All Purpose Appropriations,All Purpose Appropriations,All Purpose Appropriations,All Purpose Appropriations,All Purpose Appropriations,,,0,,,0,0,,0
Total,Total,,,,,,"660,295",,"868,548","868,548","1,040,900","1,067,700","1,067,700"
88,Office of Budget & Grants Management,Office of Budget & Grants Management,Office of Budget & Grants Management,Office of Budget & Grants Management,Office of Budget & Grants Management,Office of Budget & Grants Management,,,,,,,
