Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”,Name: “Table 1 of 1 on page 17 of 20”
•,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load,Developed the city's preliminary feasibility studies to address the Chesapeake Bay total maximum daily load
,pollutant reduction requirements.,pollutant reduction requirements.,pollutant reduction requirements.,Studies and program development include a city-owned best management,Studies and program development include a city-owned best management,Studies and program development include a city-owned best management,Studies and program development include a city-owned best management,Studies and program development include a city-owned best management,Studies and program development include a city-owned best management,Studies and program development include a city-owned best management,Studies and program development include a city-owned best management
,"practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification","practice (BMP) retrofit study, a voluntary residential BMP installation program, a stream restoration identification"
,"study, and an oyster reef restoration study for the Lafayette River.","study, and an oyster reef restoration study for the Lafayette River.","study, and an oyster reef restoration study for the Lafayette River.","study, and an oyster reef restoration study for the Lafayette River.","study, and an oyster reef restoration study for the Lafayette River.","study, and an oyster reef restoration study for the Lafayette River.","study, and an oyster reef restoration study for the Lafayette River.",,,,
•,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination,Maintained compliance with environmental regulations and the city's Virginia Pollutant Discharge Elimination
,System permit requirements.,System permit requirements.,System permit requirements.,,,,,,,,
•,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,Participated in and monitored the development of the new storm water laws and regulation requirements.,
•,"Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and","Provided public information and education regarding storm water service, pollution prevention, flooding, and"
,related issues.,related issues.,,,,,,,,,
•,"Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and","Operated and maintained the storm water system, including pump stations, pipes, structures, ditches, and"
,outfalls.,,,,,,,,,,
•,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for,Provided monthly street sweeping to those areas throughout the city with curbs and gutters and daily for
,"downtown Norfolk, resulting in the diversion of more than 5,500 tons of debris.","downtown Norfolk, resulting in the diversion of more than 5,500 tons of debris.","downtown Norfolk, resulting in the diversion of more than 5,500 tons of debris.","downtown Norfolk, resulting in the diversion of more than 5,500 tons of debris.","downtown Norfolk, resulting in the diversion of more than 5,500 tons of debris.","downtown Norfolk, resulting in the diversion of more than 5,500 tons of debris.","downtown Norfolk, resulting in the diversion of more than 5,500 tons of debris.",,,,
,,,,,,,,Prior Year Accomplishments,Prior Year Accomplishments,Prior Year Accomplishments,93
