Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”
"effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses","effective May 1, 2011. Effective FY14, the fund also includes a future toll road now under construction that encompasses"
"Route 17, Dominion Boulevard, and the Steel Bridge.","Route 17, Dominion Boulevard, and the Steel Bridge.","Route 17, Dominion Boulevard, and the Steel Bridge.","Route 17, Dominion Boulevard, and the Steel Bridge.",,,,,,,
,,,CHESAPEAKE EXPRESSWAY FUND ( % Change),CHESAPEAKE EXPRESSWAY FUND ( % Change),CHESAPEAKE EXPRESSWAY FUND ( % Change),CHESAPEAKE EXPRESSWAY FUND ( % Change),CHESAPEAKE EXPRESSWAY FUND ( % Change),,,
35%,,,,,,,,,,
,,,,,,,,29.3%,,
30%,,,,,,,,,,
25%,,,,,,,,,,
20%,,,,,,,,,,
,,,,,,,15.0%,,,
15%,,,,,,,,,,
10%,,,,,,,,,,7.3%
6.3%,,,5.7%,,,,,,,
,,3.9%,,,,,,,,
5%,3.1%,,,,,,,,,
0%,,,,,,,,,,
-5%,,,,-2.2%,,-1.2%,,,-2.6%,
,,,,,-5.4%,,,,,
-10%,,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,2012,Budget,Forecast
,,,,,Fiscal Year,,,,2013,2014
,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,CHESAPEAKE CHESAPEAKE TRANSPORTATION SYSTEM FUND - 525 REVENUES,
,,,Fiscal Year,,Revenue,Change,Change,,,
,,,2004,,"$6,839,663",,6.3%,,,
,,,2005,,"$7,053,292",,3.1%,,,
,,,2006,,"$7,328,841",,3.9%,,,
,,,2007,,"$7,742,964",,5.7%,,,
,,,2008,,"$7,573,725",,-2.2%,,,
,,,2009,,"$7,166,697",,-5.4%,,,
,,,2010,,"$7,080,701",,-1.2%,,,
,,,2011,,"$8,144,671",15.0%,15.0%,,,
,,,2012,,"$10,533,857",29.3%,29.3%,,,
,,,Budget 2013,,"$10,255,892",,-2.6%,,,
,,,Forecast 2014,,"$11,000,963",,7.3%,,,
FY 2013-14 Operating Budget,FY 2013-14 Operating Budget,,,,72,,,,"As Amended June 11, 2013","As Amended June 11, 2013"
