Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”,Name: “Table 1 of 1 on page 30 of 56”
"Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.",
,,,CONFERENCE CENTER FUND ( % Change),CONFERENCE CENTER FUND ( % Change),CONFERENCE CENTER FUND ( % Change),CONFERENCE CENTER FUND ( % Change),CONFERENCE CENTER FUND ( % Change),,,
14%,,,,,,,,,,
,,,,11.3%,,,,,,
12%,,,,,,,,,,
10.4%,,,,,,,,,,
10%,,,,,,,,,,
8%,7.1%,,,,,,,,,
6%,,,,,,,,,5.2%,
,,3.9%,,,,,,,,
4%,,,2.8%,,,,,2.6%,,
2%,,,,,,,,,,
0%,,,,,,,,,,
-2%,,,,,,-0.5%,-0.5%,,,
-4%,,,,,,,,,,
,,,,,,,,,,-3.5%
-6%,,,,,,,,,,
,,,,,-5.3%,,,,,
-8%,,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,2012,Budget,Forecast
,,,,,Fiscal Year,,,,2013,2014
,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,,
,,,Fiscal Year,Fiscal Year,Revenue,Revenue,Change,,,
,,,2004,2004,"$4,375,735","$4,375,735",10.4%,,,
,,,2005,2005,"$4,684,910","$4,684,910",7.1%,,,
,,,2006,2006,"$4,866,199","$4,866,199",3.9%,,,
,,,2007,2007,"$5,003,905","$5,003,905",2.8%,,,
,,,2008,2008,"$5,570,351","$5,570,351",11.3%,,,
,,,2009,2009,"$5,273,884","$5,273,884",-5.3%,,,
,,,2010,2010,"$5,246,346","$5,246,346",-0.5%,,,
,,,2011,2011,"$5,222,109","$5,222,109",-0.5%,,,
,,,2012,2012,"$5,355,948","$5,355,948",2.6%,,,
,,,Budget 2013,Budget 2013,"$5,634,682","$5,634,682",5.2%,,,
,,,Forecast 2014,Forecast 2014,"$5,438,565","$5,438,565",-3.5%,,,
FY 2013-14 Operating Budget,FY 2013-14 Operating Budget,,,,64,,,"As Amended June 11, 2013","As Amended June 11, 2013","As Amended June 11, 2013"
