Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”
,"Energy and a citywide effort to reduce energy costs. As a result, energy costs are anticipated to be lower than in","Energy and a citywide effort to reduce energy costs. As a result, energy costs are anticipated to be lower than in","Energy and a citywide effort to reduce energy costs. As a result, energy costs are anticipated to be lower than in","Energy and a citywide effort to reduce energy costs. As a result, energy costs are anticipated to be lower than in","Energy and a citywide effort to reduce energy costs. As a result, energy costs are anticipated to be lower than in","Energy and a citywide effort to reduce energy costs. As a result, energy costs are anticipated to be lower than in","Energy and a citywide effort to reduce energy costs. As a result, energy costs are anticipated to be lower than in"
,previous years.,,,,,,
•,Reduce security services supplies,Reduce security services supplies,,FY 2013:,"($3,000)",Positions:,0
,Reduce security services support to reflect actual costs. The responsibility of procuring the identification badge,Reduce security services support to reflect actual costs. The responsibility of procuring the identification badge,Reduce security services support to reflect actual costs. The responsibility of procuring the identification badge,Reduce security services support to reflect actual costs. The responsibility of procuring the identification badge,Reduce security services support to reflect actual costs. The responsibility of procuring the identification badge,Reduce security services support to reflect actual costs. The responsibility of procuring the identification badge,Reduce security services support to reflect actual costs. The responsibility of procuring the identification badge
,was transferred in FY 2012 to the Department of Human Resources.,was transferred in FY 2012 to the Department of Human Resources.,was transferred in FY 2012 to the Department of Human Resources.,was transferred in FY 2012 to the Department of Human Resources.,,,
,General Services,General Services,,Total FY 2013:,"$1,533,089",Positions:,14
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",1,0,1
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",0,1,1
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",1,0,1
Administrative Manager,Administrative Manager,MAP011,"$53,634","$85,742",1,0,1
Administrative Secretary,Administrative Secretary,OPS009,"$30,567","$48,870",0,1,1
Administrative Services,Administrative Services,,,,,,
,,SRM003,"$55,144","$97,056",1,-1,0
Manager,Manager,,,,,,
Animal Caretaker,Animal Caretaker,OPS003,"$19,318","$30,885",0,9,9
Assistant Animal Services,Assistant Animal Services,,,,,,
,,MAP005,"$36,924","$59,029",0,1,1
Supervisor,Supervisor,,,,,,
Assistant Director of General,Assistant Director of General,,,,,,
,,SRM006,"$66,145","$116,415",2,0,2
Services,Services,,,,,,
Assistant Facilities Maintenance,Assistant Facilities Maintenance,,,,,,
,,MAP012,"$57,228","$91,486",1,0,1
Manager,Manager,,,,,,
Buyer I,Buyer I,OPS010,"$33,105","$52,920",1,0,1
Buyer II,Buyer II,OPS013,"$42,283","$67,598",3,0,3
Carpenter I,Carpenter I,OPS008,"$28,251","$45,161",7,0,7
202,General Services,,,,,,
