Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”
,"Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,"
,"the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate"
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,,
•,Provide additional staffing to meet increased audit,Provide additional staffing to meet increased audit,Provide additional staffing to meet increased audit,FY 2013:,,"$75,000",Positions:,1
,demands,,,,,,,
,Adds an Auditor II position to assist with city-wide compliance and efficiency audits.,Adds an Auditor II position to assist with city-wide compliance and efficiency audits.,Adds an Auditor II position to assist with city-wide compliance and efficiency audits.,Adds an Auditor II position to assist with city-wide compliance and efficiency audits.,Adds an Auditor II position to assist with city-wide compliance and efficiency audits.,Adds an Auditor II position to assist with city-wide compliance and efficiency audits.,,
,City Auditor,City Auditor,,Total FY 2013:,"$114,252","$114,252",Positions:,1
P OSITION S UMMARY,P OSITION S UMMARY,,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,FY 2012,Change,FY 2013
,,,,,Approved,Approved,,Approved
,,,,,Positions,Positions,,Positions
Assistant City Auditor,Assistant City Auditor,MAP008,"$44,351","$70,899",,1,0,1
Assistant City Auditor II,Assistant City Auditor II,MAP009,"$47,215","$75,483",,4,0,4
Auditor II,Auditor II,MAP009,"$47,215","$75,483",,0,1,1
City Auditor,City Auditor,CCA001,"$66,145","$116,415",,1,0,1
Deputy City Auditor,Deputy City Auditor,MAP012,"$57,228","$91,486",,1,0,1
Total,Total,,,,,7,1,8
,,,,,,,City Auditor,115
