Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”,Name: “Table 1 of 1 on page 41 of 214”
D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,,,,,,,,,
The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate,The Commissioner of the Revenue is responsible for the administration of city tax revenues except real estate
taxes. The office is comprised of seven teams as follows:,taxes. The office is comprised of seven teams as follows:,taxes. The office is comprised of seven teams as follows:,taxes. The office is comprised of seven teams as follows:,taxes. The office is comprised of seven teams as follows:,taxes. The office is comprised of seven teams as follows:,taxes. The office is comprised of seven teams as follows:,,,,,,,
•,Personal Property Revenue:,Personal Property Revenue:,Personal Property Revenue:,"Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide","Assess and prorate vehicle, aircraft and mobile home personal property; provide"
,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,DMV Select service; sell residential parking permits and yard sale permits.,,,,
•,Business Revenue:,Business Revenue:,"Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business","Assess business personal property, personal and commercial watercraft, and business"
,"licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.","licenses; administer food and beverage, cigarette, admissions, lodging and room taxes.",,
•,Tax Compliance:,Tax Compliance:,"Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,","Enforce compliance for business license, business property, food and beverage, lodging,"
,admissions,and,cigarette,taxes.,Investigate,business,license,and,tax,issues;,conduct,taxpayer,inquiry
,investigations.,,,,,,,,,,,,
•,Taxpayer Assistance:,Taxpayer Assistance:,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled,Administer tax reductions and/or real estate tax relief programs for elderly or disabled
,"taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income","taxpayers. Obtain, audit, prepare, and process Virginia State Income Tax Returns and Virginia Estimated Income"
,Tax Vouchers from Norfolk citizens.,Tax Vouchers from Norfolk citizens.,Tax Vouchers from Norfolk citizens.,Tax Vouchers from Norfolk citizens.,,,,,,,,,
•,Audit Services:,Ensure compliance with state and city tax code.,Ensure compliance with state and city tax code.,Ensure compliance with state and city tax code.,Ensure compliance with state and city tax code.,Ensure compliance with state and city tax code.,Ensure compliance with state and city tax code.,"Evaluate, appraise, and compare business","Evaluate, appraise, and compare business","Evaluate, appraise, and compare business","Evaluate, appraise, and compare business","Evaluate, appraise, and compare business","Evaluate, appraise, and compare business"
,license revenues to their level of compliance.,license revenues to their level of compliance.,license revenues to their level of compliance.,license revenues to their level of compliance.,license revenues to their level of compliance.,"Research, evaluate and prepare amendments to legislative","Research, evaluate and prepare amendments to legislative","Research, evaluate and prepare amendments to legislative","Research, evaluate and prepare amendments to legislative","Research, evaluate and prepare amendments to legislative","Research, evaluate and prepare amendments to legislative","Research, evaluate and prepare amendments to legislative","Research, evaluate and prepare amendments to legislative"
,proposals impacting Norfolk's ability to generate tax revenue.,proposals impacting Norfolk's ability to generate tax revenue.,proposals impacting Norfolk's ability to generate tax revenue.,proposals impacting Norfolk's ability to generate tax revenue.,proposals impacting Norfolk's ability to generate tax revenue.,proposals impacting Norfolk's ability to generate tax revenue.,proposals impacting Norfolk's ability to generate tax revenue.,,,,,,
,,,,,,,,,,Commissioner of the Revenue,Commissioner of the Revenue,Commissioner of the Revenue,143
