Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”
Building Safety:,"Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,","Ensures building safety during the construction process by reviewing plans, issuing permits,"
"inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety","inspecting construction work, managing elevator inspections, verifying cross connections to ensure water safety"
and enforcing the Virginia Uniform Statewide Building Code.,and enforcing the Virginia Uniform Statewide Building Code.,and enforcing the Virginia Uniform Statewide Building Code.,and enforcing the Virginia Uniform Statewide Building Code.,and enforcing the Virginia Uniform Statewide Building Code.,and enforcing the Virginia Uniform Statewide Building Code.,,,,,,,,
Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by,Neighborhood Quality: Strives to maintain a clean and desirable living and working environment for all citizens by
"addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of","addressing blight and nuisances in coordination with other city departments, agencies and the residents of"
Norfolk.,,,,,,,,,,,,,
Environmental,Services:,Implements,the,requirements,of,the,Chesapeake,Bay,Preservation,"Act,",as,well,as
"coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.","coordinates shoreline restoration efforts, including dune restoration and control of invasive exotic plants.",,
,,,PlanningandCommunityDevelopment,PlanningandCommunityDevelopment,PlanningandCommunityDevelopment,PlanningandCommunityDevelopment,PlanningandCommunityDevelopment,,,,,,
,,,,,,Bureauof,Bureauof,,Bureauof,,,,
,BureauofPlanning,BureauofBuilding,BureauofBuilding,,,,,,,,,,
,,,,,,Neighborhood,Neighborhood,,Environmental,Environmental,,,
,Services,,Safety,,,,,,,,,,
,,,,,,Quality,Quality,,Services,,,,
Short-Term Objectives,Short-Term Objectives,,,,,,,,,,,,
•,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles,Encourage bicycle usage by revising regulations governing the use of bicycles as well as provisions for bicycles
•,Provide electronic application submission and posting,Provide electronic application submission and posting,Provide electronic application submission and posting,,,,,,,,,,
•,Streamline regulatory requirements consistent with SmartGrowth principles,Streamline regulatory requirements consistent with SmartGrowth principles,Streamline regulatory requirements consistent with SmartGrowth principles,Streamline regulatory requirements consistent with SmartGrowth principles,Streamline regulatory requirements consistent with SmartGrowth principles,Streamline regulatory requirements consistent with SmartGrowth principles,Streamline regulatory requirements consistent with SmartGrowth principles,,,,,,
,,,,,,,Planning and Community Development,Planning and Community Development,Planning and Community Development,Planning and Community Development,Planning and Community Development,211,211
