Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”
,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.
,"The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,"
,"Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,",
,"the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate"
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,,
•,Transfer funds for school health to NPS,,FY 2013:,"($1,535,400)","($1,535,400)",Positions:,0
,Technical adjustment to transfer funds for school nurses to Norfolk Public Schools (NPS) from the Norfolk,Technical adjustment to transfer funds for school nurses to Norfolk Public Schools (NPS) from the Norfolk,Technical adjustment to transfer funds for school nurses to Norfolk Public Schools (NPS) from the Norfolk,Technical adjustment to transfer funds for school nurses to Norfolk Public Schools (NPS) from the Norfolk,Technical adjustment to transfer funds for school nurses to Norfolk Public Schools (NPS) from the Norfolk,Technical adjustment to transfer funds for school nurses to Norfolk Public Schools (NPS) from the Norfolk,
,Department of Public Health (NDPH). This adjustment allows for the proper expenditure of school nurse funds,Department of Public Health (NDPH). This adjustment allows for the proper expenditure of school nurse funds,Department of Public Health (NDPH). This adjustment allows for the proper expenditure of school nurse funds,Department of Public Health (NDPH). This adjustment allows for the proper expenditure of school nurse funds,Department of Public Health (NDPH). This adjustment allows for the proper expenditure of school nurse funds,Department of Public Health (NDPH). This adjustment allows for the proper expenditure of school nurse funds,
,from the school division as required by the Virginia Department of Education. This transfer does not result in a,from the school division as required by the Virginia Department of Education. This transfer does not result in a,from the school division as required by the Virginia Department of Education. This transfer does not result in a,from the school division as required by the Virginia Department of Education. This transfer does not result in a,from the school division as required by the Virginia Department of Education. This transfer does not result in a,from the school division as required by the Virginia Department of Education. This transfer does not result in a,
,change to services. School health services will be provided through a joint agreement between NDPH and NPS.,change to services. School health services will be provided through a joint agreement between NDPH and NPS.,change to services. School health services will be provided through a joint agreement between NDPH and NPS.,change to services. School health services will be provided through a joint agreement between NDPH and NPS.,change to services. School health services will be provided through a joint agreement between NDPH and NPS.,change to services. School health services will be provided through a joint agreement between NDPH and NPS.,change to services. School health services will be provided through a joint agreement between NDPH and NPS.
,"During FY 2013 NDPH, NPS and the city will examine the best practices to determine an appropriate model for","During FY 2013 NDPH, NPS and the city will examine the best practices to determine an appropriate model for","During FY 2013 NDPH, NPS and the city will examine the best practices to determine an appropriate model for","During FY 2013 NDPH, NPS and the city will examine the best practices to determine an appropriate model for","During FY 2013 NDPH, NPS and the city will examine the best practices to determine an appropriate model for","During FY 2013 NDPH, NPS and the city will examine the best practices to determine an appropriate model for",
,school health services in Norfolk. A corresponding adjustment can be found in Norfolk Public Schools.,school health services in Norfolk. A corresponding adjustment can be found in Norfolk Public Schools.,school health services in Norfolk. A corresponding adjustment can be found in Norfolk Public Schools.,school health services in Norfolk. A corresponding adjustment can be found in Norfolk Public Schools.,school health services in Norfolk. A corresponding adjustment can be found in Norfolk Public Schools.,school health services in Norfolk. A corresponding adjustment can be found in Norfolk Public Schools.,
•,Increase support for local match of public health,,FY 2013:,,"$19,572",Positions:,0
,funding,,,,,,
,Provide match funds for employee's five percent pay increase provided by the state prior to FY 2012 which is in,Provide match funds for employee's five percent pay increase provided by the state prior to FY 2012 which is in,Provide match funds for employee's five percent pay increase provided by the state prior to FY 2012 which is in,Provide match funds for employee's five percent pay increase provided by the state prior to FY 2012 which is in,Provide match funds for employee's five percent pay increase provided by the state prior to FY 2012 which is in,Provide match funds for employee's five percent pay increase provided by the state prior to FY 2012 which is in,Provide match funds for employee's five percent pay increase provided by the state prior to FY 2012 which is in
,correlation to the five percent employee contribution to the Virginia Retirement System.,correlation to the five percent employee contribution to the Virginia Retirement System.,correlation to the five percent employee contribution to the Virginia Retirement System.,correlation to the five percent employee contribution to the Virginia Retirement System.,correlation to the five percent employee contribution to the Virginia Retirement System.,,
,,,,,,Public Health,279
