Name: “Table 1 of 1 on page 10 of 214”,Name: “Table 1 of 1 on page 10 of 214”,Name: “Table 1 of 1 on page 10 of 214”,Name: “Table 1 of 1 on page 10 of 214”,Name: “Table 1 of 1 on page 10 of 214”,Name: “Table 1 of 1 on page 10 of 214”,Name: “Table 1 of 1 on page 10 of 214”,Name: “Table 1 of 1 on page 10 of 214”
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,
•,Increase funds for office equipment repairs,Increase funds for office equipment repairs,,FY 2013:,$681,Positions:,0
,Increase funds for office equipment repairs based on actual expenditure patterns.,Increase funds for office equipment repairs based on actual expenditure patterns.,Increase funds for office equipment repairs based on actual expenditure patterns.,Increase funds for office equipment repairs based on actual expenditure patterns.,,,
•,Reduce funds for advertising,Reduce funds for advertising,,FY 2013:,($400),Positions:,0
,Reduce funds for advertising based on actual expenditure patterns.,Reduce funds for advertising based on actual expenditure patterns.,Reduce funds for advertising based on actual expenditure patterns.,Reduce funds for advertising based on actual expenditure patterns.,,,
,City Real Estate Assessor,City Real Estate Assessor,,Total FY 2013:,"$48,637",Positions:,0
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",1,0,1
Chief Deputy Real Estate,Chief Deputy Real Estate,,,,,,
,,SRM006,"$66,145","$116,415",1,0,1
Assessor,Assessor,,,,,,
City Assessor,City Assessor,CCA002,"$75,200","$132,351",1,0,1
Geographic Information,Geographic Information,,,,,,
,,OPS010,"$33,105","$52,920",1,0,1
Systems Technician,Systems Technician,,,,,,
Programmer/Analyst V,Programmer/Analyst V,ITM005,"$54,124","$86,522",1,0,1
Real Estate Appraisal Team,Real Estate Appraisal Team,,,,,,
,,MAP010,"$50,303","$80,416",2,0,2
Leader,Leader,,,,,,
Real Estate Appraiser II,Real Estate Appraiser II,OPS012,"$38,936","$62,242",5,0,5
Real Estate Appraiser III,Real Estate Appraiser III,OPS014,"$45,963","$73,478",6,0,6
Real Estate CAMA Modeler,Real Estate CAMA Modeler,,,,,,
,,MAP011,"$53,634","$85,742",1,0,1
Analyst,Analyst,,,,,,
Real Estate Commercial Project,Real Estate Commercial Project,,,,,,
,,MAP012,"$57,228","$91,486",1,0,1
Supervisor,Supervisor,,,,,,
Software Analyst,Software Analyst,ITM002,"$44,555","$71,228",1,0,1
Support Technician,Support Technician,OPS006,"$24,199","$38,684",3,0,3
Total,Total,,,,24,0,24
112,City Real Estate Assessor,,,,,,
