Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”
,"the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate"
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,,
•,Provide funds for a multi-function reproduction,Provide funds for a multi-function reproduction,,FY 2013:,,"$2,400",Positions:,0
,machine,,,,,,,
,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning,Provide funds for an additional multi-function reproduction machine to support the photocopying and scanning
,needs of the department.,,,,,,,
,Finance,,,Total FY 2013:,"($200,688)","($200,688)",Positions:,0
POSITION S UMMARY,POSITION S UMMARY,,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,FY 2012,Change,FY 2013
,,,,,Approved,Approved,,Approved
,,,,,Positions,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",,5,0,5
Accountant II,Accountant II,OPS011,"$35,886","$57,371",,2,0,2
Accountant III,Accountant III,MAP006,"$39,221","$62,700",,1,0,1
Accountant IV,Accountant IV,MAP009,"$47,215","$75,483",,2,0,2
Accountant V,Accountant V,MAP010,"$50,303","$80,416",,1,0,1
Accounting Manager,Accounting Manager,MAP012,"$57,228","$91,486",,1,0,1
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",,1,0,1
Administrative Analyst,Administrative Analyst,MAP008,"$44,351","$70,899",,1,0,1
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",,1,0,1
Administrative Secretary,Administrative Secretary,OPS009,"$30,567","$48,870",,1,0,1
196,Finance,,,,,,,
