Name: “Table 1 of 1 on page 38 of 214”,Name: “Table 1 of 1 on page 38 of 214”,Name: “Table 1 of 1 on page 38 of 214”,Name: “Table 1 of 1 on page 38 of 214”,Name: “Table 1 of 1 on page 38 of 214”,Name: “Table 1 of 1 on page 38 of 214”,Name: “Table 1 of 1 on page 38 of 214”,Name: “Table 1 of 1 on page 38 of 214”
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,
,City Attorney,City Attorney,,Total FY 2013:,"($10,734)","($10,734)",0
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Assistant City Attorney I,Assistant City Attorney I,LAW001,"$53,517","$85,094",3,0,3
Assistant City Attorney II,Assistant City Attorney II,LAW002,"$62,683","$99,663",1,0,1
Assistant City Attorney III,Assistant City Attorney III,LAW003,"$73,478","$116,832",2,0,2
Business Manager,Business Manager,MAP008,"$44,351","$70,899",1,0,1
Chief Deputy City Attorney,Chief Deputy City Attorney,LAW007,"$95,941","$160,000",1,0,1
City Attorney,City Attorney,CCA003,"$135,281","$215,097",1,0,1
Criminal Docket Specialist,Criminal Docket Specialist,OPS010,"$33,105","$52,920",1,0,1
Deputy City Attorney I,Deputy City Attorney I,LAW004,"$81,729","$129,950",4,0,4
Deputy City Attorney II,Deputy City Attorney II,LAW005,"$86,207","$137,073",7,0,7
Legal Administrator,Legal Administrator,MAP011,"$53,634","$85,742",1,0,1
Legal Coordinator I -LD,Legal Coordinator I -LD,OPS012,"$38,936","$62,242",2,0,2
Legal Coordinator II - LD,Legal Coordinator II - LD,OPS014,"$45,963","$73,478",1,0,1
Legal Secretary I,Legal Secretary I,OPS008,"$28,251","$45,161",1,0,1
Legal Secretary II,Legal Secretary II,OPS010,"$33,105","$52,920",4,0,4
Messenger/Driver,Messenger/Driver,OPS003,"$19,318","$30,885",1,0,1
Paralegal Claims Investigator II -,Paralegal Claims Investigator II -,,,,,,
,,OPS013,"$42,283","$67,598",1,0,1
LD,,,,,,,
Paralegal Generalist-LD,Paralegal Generalist-LD,OPS010,"$33,105","$52,920",1,0,1
Support Technician,Support Technician,OPS006,"$24,199","$38,684",1,0,1
Total,Total,,,,34,0,34
140,City Attorney,,,,,,
