Name: “Table 1 of 1 on page 55 of 214”,Name: “Table 1 of 1 on page 55 of 214”,Name: “Table 1 of 1 on page 55 of 214”,Name: “Table 1 of 1 on page 55 of 214”,Name: “Table 1 of 1 on page 55 of 214”,Name: “Table 1 of 1 on page 55 of 214”,Name: “Table 1 of 1 on page 55 of 214”,Name: “Table 1 of 1 on page 55 of 214”
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,actions which occur at the beginning of each budget cycle.,,,,
•,Implement five percent employee contribution for,Implement five percent employee contribution for,Implement five percent employee contribution for,FY 2013:,"$86,101",Positions:,0
,VRS,,,,,,
,"Increase compensation for locally funded state employees hired before July 1, 2010 by five percent to offset a","Increase compensation for locally funded state employees hired before July 1, 2010 by five percent to offset a","Increase compensation for locally funded state employees hired before July 1, 2010 by five percent to offset a","Increase compensation for locally funded state employees hired before July 1, 2010 by five percent to offset a","Increase compensation for locally funded state employees hired before July 1, 2010 by five percent to offset a","Increase compensation for locally funded state employees hired before July 1, 2010 by five percent to offset a",
,corresponding five percent increase to the employees' contribution toward VRS retirement. This action is the,corresponding five percent increase to the employees' contribution toward VRS retirement. This action is the,corresponding five percent increase to the employees' contribution toward VRS retirement. This action is the,corresponding five percent increase to the employees' contribution toward VRS retirement. This action is the,corresponding five percent increase to the employees' contribution toward VRS retirement. This action is the,corresponding five percent increase to the employees' contribution toward VRS retirement. This action is the,
,result of state budget legislation.,result of state budget legislation.,,,,,
,Clerk of the Circuit Court,Clerk of the Circuit Court,,Total FY 2013:,"$96,624",Positions:,0
P OSITION S UMMARY,P OSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Administrative Assistant-CC,Administrative Assistant-CC,CCC005,"$35,886","$57,371",4,0,4
Administrative Manager,Administrative Manager,MAP011,"$53,634","$85,742",1,0,1
Applications Development,Applications Development,,,,,,
,,SRM006,"$66,145","$116,415",1,0,1
Manager,Manager,,,,,,
Cashier-CC,Cashier-CC,CCC002,"$26,135","$41,782",2,0,2
Chief Deputy Circuit Court,Chief Deputy Circuit Court,CCC009,"$66,145","$116,415",1,0,1
Clerk of the Circuit Court,Clerk of the Circuit Court,COF012,"$84,146","$133,792",1,0,1
Comptroller-CC,Comptroller-CC,CCC008,"$57,228","$91,486",1,0,1
Custodian,Custodian,OPS002,"$17,953","$28,703",1,0,1
Deputy Clerk I - CC,Deputy Clerk I - CC,CCC001,"$24,199","$38,684",14,0,14
Deputy Clerk II-CC,Deputy Clerk II-CC,CCC002,"$26,135","$41,782",9,0,9
Deputy Clerk III-CC,Deputy Clerk III-CC,CCC003,"$28,251","$45,161",6,0,6
In Court Clerk-CC,In Court Clerk-CC,CCC004,"$33,105","$52,920",6,0,6
Supervising Deputy Clerk-CC,Supervising Deputy Clerk-CC,CCC007,"$53,634","$85,742",3,0,3
Total,Total,,,,50,0,50
,,,,,Clerk of the Circuit Court,Clerk of the Circuit Court,157
