Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”
"design, permits, and maintenance operations after priorities are re-examined based on the updated Lake Management Plan and the Outfall Ditch","design, permits, and maintenance operations after priorities are re-examined based on the updated Lake Management Plan and the Outfall Ditch","design, permits, and maintenance operations after priorities are re-examined based on the updated Lake Management Plan and the Outfall Ditch","design, permits, and maintenance operations after priorities are re-examined based on the updated Lake Management Plan and the Outfall Ditch","design, permits, and maintenance operations after priorities are re-examined based on the updated Lake Management Plan and the Outfall Ditch","design, permits, and maintenance operations after priorities are re-examined based on the updated Lake Management Plan and the Outfall Ditch","design, permits, and maintenance operations after priorities are re-examined based on the updated Lake Management Plan and the Outfall Ditch",
Rehabilitation Wetlands/Water Assessment Report.,Rehabilitation Wetlands/Water Assessment Report.,,,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/07 - 01/17,"3,303,571"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"3,303,571"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,Transfer from Stormwater Fund,Transfer from Stormwater Fund,,,"3,303,571"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"3,303,571"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 29,14 - 29,,Capital Improvements,Capital Improvements
