Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Collection patterns for all of the city’s revenue sources are monitored throughout the year.,Data from monthly,Data from monthly,Data from monthly,Data from monthly
financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,financial reports are monitored to determine the accuracy of budgetary projections.,This allows for appropriate,This allows for appropriate,This allows for appropriate,This allows for appropriate,This allows for appropriate
administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,administrative action if actual results differ substantially from projections.,A detailed collections database is,A detailed collections database is,A detailed collections database is,A detailed collections database is,A detailed collections database is,A detailed collections database is
compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.,compiled to project future revenue collections taking into account unique patterns and seasonal fluctuations.
Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility,Strong collection rates for locally generated taxes and fees reflect the commitment and fulfillment of responsibility
that Norfolk residents show to their city.,that Norfolk residents show to their city.,that Norfolk residents show to their city.,that Norfolk residents show to their city.,that Norfolk residents show to their city.,that Norfolk residents show to their city.,,,,,,,,,,,
G ENERAL PROPERTY TAXES,G ENERAL PROPERTY TAXES,G ENERAL PROPERTY TAXES,G ENERAL PROPERTY TAXES,G ENERAL PROPERTY TAXES,G ENERAL PROPERTY TAXES,,,,,,,,,,,
,,,,,,,,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value,General property taxes are levied on the assessed value
,Current Real Estate Tax revenue projected,Current Real Estate Tax revenue projected,Current Real Estate Tax revenue projected,Current Real Estate Tax revenue projected,Current Real Estate Tax revenue projected,Current Real Estate Tax revenue projected,,,,,,,,,,
,,,,,,,,of,real,and,personal,property,property,and,represent,represent
,to fall 2.2 percent from FY 2012 estimate,to fall 2.2 percent from FY 2012 estimate,to fall 2.2 percent from FY 2012 estimate,to fall 2.2 percent from FY 2012 estimate,to fall 2.2 percent from FY 2012 estimate,to fall 2.2 percent from FY 2012 estimate,,,,,,,,,,
Millions,,,,,,,,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s,approximately 31 percent ($245 million) of the city’s
$300,,,,,,,,General Fund revenues.,General Fund revenues.,General Fund revenues.,General Fund revenues.,Real estate taxes make up the,Real estate taxes make up the,Real estate taxes make up the,Real estate taxes make up the,Real estate taxes make up the
,,$187,$192,$186,,$181,,largest component of general property taxes.,largest component of general property taxes.,largest component of general property taxes.,largest component of general property taxes.,largest component of general property taxes.,largest component of general property taxes.,largest component of general property taxes.,Current,Current
$225,,,,,$178,,$177,,,,,,,,,
,$175,,,,,,,real,estate,taxes,make,up,about,22,percent,($177
$150,,,,,,,,million) of the FY 2013 revenues.,million) of the FY 2013 revenues.,million) of the FY 2013 revenues.,million) of the FY 2013 revenues.,million) of the FY 2013 revenues.,The FY 2013 estimate,The FY 2013 estimate,The FY 2013 estimate,The FY 2013 estimate
$75,,,,,,,,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax,for current real estate taxes reflects no change in the tax
,,,,,,,,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax,rate of $1.11 and sets aside $6 million to provide tax
$0,2007,2009,2010,2011,2012,2012,2013,"relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,","relief to seniors and disabled residents and veterans,"
,,,,,Budget Estimate Estimate,Budget Estimate Estimate,Budget Estimate Estimate,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million,which is a $1.5 million decrease from the $7.5 million
,,,Fiscal Year,Fiscal Year,,,,,,,,,,,,
,,,,,,,,set aside in FY 2012.,set aside in FY 2012.,set aside in FY 2012.,set aside in FY 2012.,,,,,
,,,,,,,,,,,,,Major Revenue Sources,Major Revenue Sources,Major Revenue Sources,37
